! Caption record:
APO 3.5M Pointing Data 2014-06-12T05:17:25.3
! Option record: ALTAZ followed by rotator code, if applicable
: ALTAZ
: ROTL
! Run parameters: telescope latitude deg min sec
32 46 49.3
! Pointing data (TPOINT format #4):
!
! All angles are in degrees
! Azimuth uses the convention: N=0, E=90 (unlike the TCC, which uses S=0, E=90)
!
!  Desired Phys            Actual Mount          Rot Phys
! Az          Alt         Az          Alt
  91.947544   51.335290   91.968943   51.354844  -28.12016
  53.112308   13.008009   53.145694   13.023089   18.59026
  23.441156   13.793161   23.474012   13.809628   32.03558
  -7.324826   10.180474   -7.284201   10.201954   95.54250
-103.102266   14.967155 -103.072538   14.985940  129.95002
 -73.542387   15.349634  -73.514072   15.367954  134.91574
 -39.890622   47.052568  -39.866570   47.073374  143.94253
   9.628652   67.143448    9.642366   67.166598 -142.64908
  37.513572   43.759357   37.543951   43.783691  -51.23668
-149.552672   70.294980  210.426510   70.325708   45.80586
 -93.441472   53.206652  266.576903   53.233654  103.23143
 -64.881529   26.114662  295.148978   26.138956  130.45216
-135.350234   12.748247  224.681325   12.768681  118.93008
 148.000953   53.171753  148.018736   53.189182   10.25304
  91.177326   15.662193   91.209300   15.669909   16.22600
 117.468758   16.366440  117.498132   16.374889   23.53667
 154.692178   14.806727  154.720786   14.818534   48.27849
-168.049184   15.077281  191.978555   15.090928   87.97936
-163.315486   45.678475  196.698181   45.698672   58.34479
